Product Name,Product Category,Number of Items Sold,Weekly Sales,Holiday,Temperature,Fuel Price,Day,Month,Year
Samsung Galaxy Buds Pro,Earphones,45,956430,TRUE,30,111,22,7,2022
Philips Sonicare DiamondClean,Home Appliance,36,2394288,FALSE,22,90,22,7,2022
TicWatch Pro 3,Smartwatch,37,2262217,TRUE,32,111,22,7,2022
Anker Nebula Capsule II,Projector,19,1796716,TRUE,24,101,23,7,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,30,106,23,7,2022
Asus ROG Zephyrus G14,Laptop,23,1998723,FALSE,34,99,23,7,2022
Sony A80J OLED,TV,35,3003525,TRUE,25,95,23,7,2022
Shure SRH440,Headphones,23,775974,TRUE,25,96,23,7,2022
Dyson V11,Home Appliance,31,830025,TRUE,23,107,23,7,2022
JBL Free X,Earphones,35,1369375,FALSE,31,98,23,7,2022
Sennheiser Momentum True Wireless 2,Earphones,18,1037124,FALSE,32,107,23,7,2022
Ring Video Doorbell 3,Smart Home Device,41,1879153,FALSE,31,88,23,7,2022
HP Spectre x360,Laptop,16,476272,TRUE,26,94,23,7,2022
PlayStation 4 Slim,Gaming Console,5,360460,FALSE,35,97,23,7,2022
TP-Link Kasa Smart Plug,Smart Home Device,36,1867248,FALSE,32,100,23,7,2022
Ultimate Ears Megaboom 3,Bluetooth Speaker,6,457014,TRUE,30,96,23,7,2022
Xbox Series S,Gaming Console,27,664713,FALSE,30,108,23,7,2022
Epson EF-100,Projector,35,3025015,FALSE,21,94,23,7,2022
AKG K371,Headphones,2,194900,FALSE,33,93,23,7,2022
TicWatch Pro 3,Smartwatch,37,2262217,TRUE,29,105,23,7,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,FALSE,31,96,23,7,2022
Google Nest Hub (2nd generation),Smart Home Device,8,116816,TRUE,29,105,23,7,2022
JBL Quantum 800,Headphones,28,1653932,TRUE,36,109,23,7,2022
LG C1 OLED,TV,11,310222,FALSE,25,99,23,7,2022
iPhone 13 Pro,Smartphone,24,998592,TRUE,31,100,23,7,2022
Amazon Fire HD 10,Tablet,42,577038,TRUE,31,101,23,7,2022
Asus ROG Zephyrus G14,Gaming Laptop,23,1923145,TRUE,29,100,23,7,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,FALSE,30,108,24,7,2022
Garmin Forerunner 945,Fitness Tracker,42,3396960,TRUE,26,99,24,7,2022
LG 27UK850-W,Monitor,43,1841991,TRUE,29,103,24,7,2022
Grado SR80e,Headphones,20,1481520,FALSE,32,92,24,7,2022
Xiaomi Mi Smart Band 6,Fitness Tracker,9,810639,FALSE,31,115,24,7,2022
August Wi-Fi Smart Lock,Smart Home Device,44,1673144,FALSE,27,100,24,7,2022
LG Velvet 2 Pro,Smartphone,22,1998788,TRUE,31,103,24,7,2022
Sennheiser Momentum True Wireless 2,Wireless Earbuds,15,1016880,FALSE,29,109,24,7,2022
Razer Blade 15,Laptop,31,2852899,TRUE,28,101,24,7,2022
Canon EOS 90D,Camera,45,566280,TRUE,26,102,24,7,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,FALSE,27,98,24,7,2022
Fossil Gen 5E,Fitness Tracker,37,2937985,FALSE,23,99,24,7,2022
Acer R240HY,Monitor,49,3764376,TRUE,27,106,24,7,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,35,102,24,7,2022
Samsung Galaxy Buds Pro,Earphones,45,956430,TRUE,31,103,24,7,2022
Motorola Edge+,Smartphone,33,934890,TRUE,25,112,24,7,2022
Lexmark MC3326adwe,Printer,20,1315120,TRUE,31,104,24,7,2022
Motorola Edge+,Smartphone,33,934890,FALSE,26,110,24,7,2022
Epson Home Cinema 5050UB,Projector,20,654440,TRUE,35,100,24,7,2022
Boat Airdopes 131,Earphones,29,1472678,TRUE,21,105,24,7,2022
Dyson V11,Home Appliance,31,830025,TRUE,24,107,24,7,2022
Philips OLED806,TV,37,1814517,TRUE,32,98,24,7,2022
Acer R240HY,Monitor,49,3764376,FALSE,22,101,24,7,2022
Samsung Galaxy Watch 4,Smartwatch,23,2101947,TRUE,29,105,24,7,2022
PlayStation 5,Gaming Console,2,191290,TRUE,20,89,24,7,2022
Asus ROG Zephyrus G14,Gaming Laptop,23,1923145,TRUE,25,100,24,7,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,38,114,24,7,2022
Roomba i7+,Home Appliance,31,1248277,FALSE,30,107,24,7,2022
Garmin Fenix 6 Pro,Smartwatch,19,1295515,TRUE,21,92,24,7,2022
Leica Q2,Camera,17,1173850,TRUE,33,92,24,7,2022
Samsung Galaxy Watch 4,Smartwatch,23,2101947,TRUE,32,105,25,7,2022
Nintendo Switch Lite,Gaming Console,40,3449520,FALSE,27,89,25,7,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,TRUE,33,111,25,7,2022
OnePlus 9 Pro,Smartphone,28,1586032,TRUE,32,92,25,7,2022
Roomba i7+,Home Appliance,31,1248277,TRUE,28,109,25,7,2022
Samsung Galaxy Fit 2,Fitness Tracker,33,1832688,TRUE,29,113,25,7,2022
Ricoh SP C261DNw,Printer,25,2041750,TRUE,26,103,25,7,2022
TCL 6-Series,TV,9,144981,TRUE,31,103,25,7,2022
LG Smart Washing Machine,Home Appliance,35,2509185,TRUE,31,96,25,7,2022
JBL Quantum 800,Headphones,28,1653932,TRUE,28,106,25,7,2022
TP-Link Kasa Smart Plug,Smart Home Device,36,1867248,TRUE,34,97,25,7,2022
TicWatch Pro 3,Smartwatch,37,2262217,TRUE,28,111,25,7,2022
Skullcandy Indy Fuel,Wireless Earbuds,13,901589,TRUE,28,104,25,7,2022
Samsung Galaxy Fit 2,Fitness Tracker,33,1832688,TRUE,24,107,25,7,2022
Motorola Edge+,Smartphone,33,934890,FALSE,24,113,25,7,2022
Amazon Fire HD 10,Tablet,42,577038,TRUE,34,103,25,7,2022
Sony Xperia 1 III,Smartphone,36,2409876,TRUE,34,92,25,7,2022
Garmin Venu Sq,Fitness Tracker,19,536864,FALSE,29,102,25,7,2022
Jabra Elite 75t,Earphones,29,2160906,FALSE,32,94,25,7,2022
ViewSonic PX747-4K,Projector,2,117914,TRUE,25,111,25,7,2022
Dyson V11,Home Appliance,31,830025,TRUE,23,97,25,7,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,30,99,25,7,2022
Lexmark MC3326adwe,Printer,20,1315120,TRUE,29,98,25,7,2022
LG 27UK850-W,Monitor,43,1841991,FALSE,28,111,25,7,2022
LG Velvet 2 Pro,Smartphone,22,1998788,TRUE,32,103,25,7,2022
Samsung Xpress M2020W,Printer,32,2362624,FALSE,22,108,25,7,2022
PlayStation 4 Slim,Gaming Console,5,360460,FALSE,40,103,25,7,2022
Mobvoi TicWatch E3,Smartwatch,6,341400,FALSE,29,99,25,7,2022
Harman Kardon Onyx Studio 6,Bluetooth Speaker,49,1492932,TRUE,33,90,25,7,2022
August Wi-Fi Smart Lock,Smart Home Device,44,1673144,FALSE,23,105,26,7,2022
LG 27UK850-W,Monitor,43,1841991,TRUE,34,110,26,7,2022
Dell Color Laser Printer C1760NW,Printer,40,3530440,TRUE,29,104,26,7,2022
AUKEY USB C Power Bank 20000mAh,Portable Charger,25,933500,FALSE,34,104,26,7,2022
Zendure A8PD Power Bank 26800mAh,Portable Charger,2,185566,FALSE,27,103,26,7,2022
ASUS TUF Gaming A15,Gaming Laptop,29,1866904,FALSE,29,104,26,7,2022
Ring Video Doorbell Pro,Home Appliance,34,1872040,TRUE,38,98,26,7,2022
Garmin Venu Sq,Fitness Tracker,19,536864,TRUE,25,111,26,7,2022
LG Nano90,TV,32,1877472,TRUE,26,97,26,7,2022
MSI Optix MAG271CQR,Monitor,34,1856876,TRUE,31,100,26,7,2022
BenQ PD2700U,Monitor,35,2416820,TRUE,36,103,26,7,2022
Samsung Galaxy S22 Ultra,Smartphone,26,550550,TRUE,36,113,26,7,2022
Hisense U8G,TV,41,479741,TRUE,36,103,26,7,2022
Sennheiser Momentum True Wireless 2,Wireless Earbuds,15,1016880,FALSE,27,107,26,7,2022
Harman Kardon Onyx Studio 6,Bluetooth Speaker,49,1492932,TRUE,34,87,26,7,2022
Razer Blade 15,Gaming Laptop,16,1185312,TRUE,23,88,26,7,2022
Xbox Series X,Gaming Console,20,858360,TRUE,36,90,26,7,2022
Google Pixel 6,Smartphone,2,169328,TRUE,28,92,26,7,2022
Philips OLED806,TV,37,1814517,TRUE,26,96,26,7,2022
Brother HL-L2390DW,Printer,48,4658496,TRUE,31,99,26,7,2022
Ring Video Doorbell 3,Smart Home Device,41,1879153,TRUE,30,94,26,7,2022
Skullcandy Indy Fuel,Earphones,48,2680320,FALSE,34,113,26,7,2022
Ultimate Ears Megaboom 3,Bluetooth Speaker,6,457014,TRUE,29,94,26,7,2022
Energizer PowerKeep Pro Portable Power Station,Portable Charger,15,355995,TRUE,27,109,26,7,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,TRUE,24,91,27,7,2022
iPhone 13 Pro,Smartphone,24,998592,TRUE,33,91,27,7,2022
Energizer PowerKeep Pro Portable Power Station,Portable Charger,15,355995,TRUE,29,109,27,7,2022
Apple Watch SE,Fitness Tracker,11,777964,TRUE,31,101,27,7,2022
HP OfficeJet Pro 9015,Printer,8,791584,TRUE,28,86,27,7,2022
AUKEY USB C Power Bank 20000mAh,Portable Charger,25,933500,TRUE,39,105,27,7,2022
Acer Swift 5,Laptop,32,1574848,TRUE,25,112,27,7,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,FALSE,31,100,27,7,2022
BenQ HT3550,Projector,13,814008,TRUE,31,100,27,7,2022
HP VH240a,Monitor,18,1094850,TRUE,28,88,27,7,2022
AKG K371,Headphones,2,194900,TRUE,31,92,27,7,2022
Apple Watch Series 7,Smartwatch,16,180688,TRUE,22,88,27,7,2022
Nintendo Switch,Gaming Console,1,36385,TRUE,29,103,27,7,2022
Roomba i7+,Home Appliance,31,1248277,TRUE,34,106,27,7,2022
Pentax K-1 Mark II,Camera,34,672894,TRUE,30,100,27,7,2022
OnePlus 9 Pro,Smartphone,28,1586032,TRUE,31,89,27,7,2022
LG CineBeam HU80KA,Projector,39,3302637,TRUE,38,92,27,7,2022
Leica Q2,Camera,17,1173850,TRUE,34,95,27,7,2022
Xbox One,Gaming Console,11,130317,TRUE,34,98,27,7,2022
Anker PowerCore 10000,Portable Charger,14,783972,TRUE,38,105,27,7,2022
LG G Pad 5,Tablet,7,131257,TRUE,32,113,27,7,2022
Grado SR80e,Headphones,20,1481520,TRUE,32,96,27,7,2022
Nespresso VertuoPlus,Home Appliance,47,3562459,TRUE,28,93,27,7,2022
Optoma UHD50X,Projector,18,656514,TRUE,32,109,27,7,2022
Jabra Elite 75t,Earphones,29,2160906,FALSE,30,95,27,7,2022
Vizio P-Series Quantum,TV,44,3508868,TRUE,35,110,27,7,2022
Fossil Gen 5,Smartwatch,43,2187625,TRUE,31,96,27,7,2022
Dell Ultrasharp U2415,Monitor,40,2575640,TRUE,29,103,27,7,2022
Zendure A8PD Power Bank 26800mAh,Portable Charger,2,185566,TRUE,28,103,27,7,2022
XGIMI Halo,Projector,5,133525,TRUE,31,115,27,7,2022
Canon EOS 90D,Camera,45,566280,TRUE,24,100,28,7,2022
Amazfit Bip U Pro,Fitness Tracker,44,1688720,TRUE,33,92,28,7,2022
Gigabyte Aorus 15G,Gaming Laptop,13,745641,TRUE,40,110,28,7,2022
PlayStation 4,Gaming Console,17,998818,TRUE,28,109,28,7,2022
MSI GE66 Raider,Gaming Laptop,26,677144,TRUE,34,94,28,7,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,FALSE,25,95,28,7,2022
Huawei P50 Pro,Smartphone,19,938106,TRUE,30,98,28,7,2022
Motorola Edge+,Smartphone,33,934890,FALSE,29,108,28,7,2022
Sony WH-1000XM4,Headphones,33,1970133,FALSE,24,92,28,7,2022
PlayStation 4 Pro,Gaming Console,40,2987280,TRUE,35,92,28,7,2022
Garmin Fenix 6 Pro,Smartwatch,19,1295515,TRUE,24,89,28,7,2022
Pentax K-1 Mark II,Camera,34,672894,TRUE,26,105,28,7,2022
Boat Airdopes 131,Earphones,29,1472678,TRUE,22,103,28,7,2022
Huawei Watch GT 2 Pro,Smartwatch,14,560630,TRUE,28,103,28,7,2022
August Wi-Fi Smart Lock,Smart Home Device,44,1673144,TRUE,21,100,28,7,2022
Acer R240HY,Monitor,49,3764376,TRUE,28,106,28,7,2022
Optoma UHD50X,Projector,18,656514,FALSE,36,111,28,7,2022
Xbox Series X,Gaming Console,20,858360,TRUE,35,92,28,7,2022
Apple Watch SE,Fitness Tracker,11,777964,TRUE,22,101,28,7,2022
OnePlus 9 Pro,Smartphone,28,1586032,TRUE,32,89,28,7,2022
Samsung Galaxy Buds Pro,Earphones,45,956430,TRUE,29,111,28,7,2022
Jabra Elite 85t,Wireless Earbuds,2,146654,TRUE,23,101,28,7,2022
Anker PowerCore 10000,Portable Charger,14,783972,TRUE,37,106,29,7,2022
ViewSonic VX2457-MHD,Monitor,28,1716036,TRUE,22,95,29,7,2022
BenQ PD2700U,Monitor,35,2416820,TRUE,31,100,29,7,2022
Apple Watch Series 7,Smartwatch,16,180688,TRUE,21,92,29,7,2022
UE Wonderboom 2,Bluetooth Speaker,26,1990352,TRUE,30,103,29,7,2022
Sony A80J OLED,TV,35,3003525,TRUE,24,97,29,7,2022
Jabra Elite 85t,Wireless Earbuds,2,146654,TRUE,30,103,29,7,2022
Samsung Galaxy S22 Ultra,Smartphone,26,550550,FALSE,37,104,29,7,2022
ViewSonic VX2457-MHD,Monitor,28,1716036,TRUE,31,97,29,7,2022
HP Omen 15,Gaming Laptop,50,4042100,TRUE,34,104,29,7,2022
MacBook Pro,Laptop,7,555688,TRUE,29,107,29,7,2022
Sony WH-1000XM5,Earphones,21,685776,TRUE,30,100,29,7,2022
Microsoft Surface Pro 7,Tablet,41,532385,FALSE,28,97,29,7,2022
Google Pixel Slate,Tablet,37,1727937,TRUE,29,90,29,7,2022
Marshall Kilburn II,Bluetooth Speaker,25,1978425,TRUE,26,103,29,7,2022
Alienware Area-51m,Laptop,24,1899312,TRUE,31,101,29,7,2022
Energizer PowerKeep Pro Portable Power Station,Portable Charger,15,355995,TRUE,26,107,29,7,2022
Sony A80J OLED,TV,35,3003525,TRUE,34,102,29,7,2022
Shure SRH440,Headphones,23,775974,TRUE,28,95,29,7,2022
Grado SR80e,Headphones,20,1481520,FALSE,35,92,29,7,2022
Razer Blade 15,Gaming Laptop,16,1185312,TRUE,29,87,29,7,2022
Acer Swift 5,Laptop,32,1574848,TRUE,25,111,29,7,2022
LG 27UK850-W,Monitor,43,1841991,TRUE,29,104,29,7,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,37,112,29,7,2022
Nest Learning Thermostat,Smart Home Device,29,1831611,FALSE,31,98,29,7,2022
Dell Color Laser Printer C1760NW,Printer,40,3530440,TRUE,25,109,29,7,2022
Fossil Gen 5E,Fitness Tracker,37,2937985,FALSE,29,106,29,7,2022
Anker Soundcore Motion+,Bluetooth Speaker,34,3285964,TRUE,23,112,29,7,2022
Samsung Galaxy Buds Pro,Earphones,45,956430,TRUE,27,109,29,7,2022
LG Nano90,TV,32,1877472,TRUE,20,98,30,7,2022
TCL 6-Series,TV,9,144981,TRUE,29,112,30,7,2022
Energizer PowerKeep Pro Portable Power Station,Portable Charger,15,355995,TRUE,24,110,30,7,2022
LG Nano90,TV,32,1877472,TRUE,28,103,30,7,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,TRUE,35,101,30,7,2022
Grado SR80e,Headphones,20,1481520,TRUE,35,97,30,7,2022
LG 27UK850-W,Monitor,43,1841991,FALSE,30,102,30,7,2022
ASUS ROG Swift PG279Q,Monitor,40,3112560,TRUE,31,108,30,7,2022
Samsung Galaxy Fit 2,Fitness Tracker,33,1832688,TRUE,31,105,30,7,2022
LG Gram,Laptop,36,1883988,TRUE,30,97,30,7,2022
Asus ROG Zephyrus G14,Laptop,23,1998723,TRUE,25,102,30,7,2022
Xiaomi Mi Smart Band 6,Fitness Tracker,9,810639,TRUE,33,114,30,7,2022
Instant Pot Duo Evo Plus,Home Appliance,38,3755046,TRUE,34,88,30,7,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,27,102,30,7,2022
Samsung Galaxy Fit 2,Fitness Tracker,33,1832688,TRUE,24,111,30,7,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,33,112,30,7,2022
Instant Pot Duo Evo Plus,Home Appliance,38,3755046,TRUE,30,88,30,7,2022
Motorola Edge+,Smartphone,33,934890,FALSE,29,106,30,7,2022
Epson EcoTank ET-4760,Printer,48,3624048,TRUE,36,114,31,7,2022
PlayStation 4 Slim,Gaming Console,5,360460,TRUE,38,105,31,7,2022
AirPods Pro,Earphones,24,561192,FALSE,36,107,31,7,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,FALSE,22,97,31,7,2022
Zendure A8PD Power Bank 26800mAh,Portable Charger,2,185566,FALSE,25,104,31,7,2022
BenQ HT3550,Projector,13,814008,FALSE,32,106,31,7,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,FALSE,30,110,31,7,2022
Anker Soundcore Liberty Air 2 Pro,Earphones,12,614112,FALSE,24,91,31,7,2022
Jackery Portable Power Station Explorer 240,Portable Charger,2,192604,TRUE,32,105,31,7,2022
LG 27UK850-W,Monitor,43,1841991,FALSE,33,104,31,7,2022
Audio-Technica ATH-M50x,Headphones,9,781515,TRUE,29,105,31,7,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,27,101,31,7,2022
Beyerdynamic DT 990 Pro,Headphones,37,479927,FALSE,30,104,31,7,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,TRUE,33,89,31,7,2022
Sony A80J OLED,TV,35,3003525,TRUE,30,99,31,7,2022
Google Pixel Buds A-Series,Wireless Earbuds,39,3224052,TRUE,26,105,31,7,2022
Harman Kardon Onyx Studio 6,Bluetooth Speaker,49,1492932,TRUE,25,92,31,7,2022
BoAt Rockerz 330,Bluetooth Speaker,33,2594229,TRUE,27,101,31,7,2022
Apple HomePod mini,Smart Home Device,50,4256300,TRUE,32,96,31,7,2022
BenQ PD2700U,Monitor,35,2416820,TRUE,35,100,31,7,2022
Garmin Forerunner 945,Fitness Tracker,42,3396960,TRUE,24,105,1,8,2022
AirPods Pro,Earphones,24,561192,TRUE,34,106,1,8,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,27,102,1,8,2022
Mobvoi TicWatch E3,Smartwatch,6,341400,FALSE,27,94,1,8,2022
Fujifilm X-T4,Camera,33,1423125,TRUE,25,96,1,8,2022
JBL Free X,Wireless Earbuds,41,2129704,TRUE,36,96,1,8,2022
Google Pixel 6,Smartphone,2,169328,TRUE,30,89,1,8,2022
Vizio P-Series Quantum,TV,44,3508868,TRUE,38,111,1,8,2022
Samsung Xpress M2020W,Printer,32,2362624,FALSE,25,104,1,8,2022
Nintendo Switch OLED,Gaming Console,19,1671981,TRUE,33,109,1,8,2022
Epson EF-100,Projector,35,3025015,FALSE,24,93,1,8,2022
UE Wonderboom 2,Bluetooth Speaker,26,1990352,TRUE,32,102,1,8,2022
LG 34GN850-B,Monitor,19,1150469,TRUE,37,109,1,8,2022
Skullcandy Indy Fuel,Wireless Earbuds,13,901589,TRUE,28,104,1,8,2022
Nespresso VertuoPlus,Home Appliance,47,3562459,TRUE,24,99,1,8,2022
AKG K371,Headphones,2,194900,FALSE,30,92,1,8,2022
Oppo Find X3 Pro,Smartphone,42,3204180,FALSE,30,99,1,8,2022
Maxoak Bluetti AC200P Power Station,Portable Charger,28,1922844,FALSE,28,98,1,8,2022
Shure SRH440,Headphones,23,775974,TRUE,29,97,1,8,2022
Fossil Gen 5E,Fitness Tracker,37,2937985,FALSE,29,99,1,8,2022
Polar Ignite 2,Fitness Tracker,10,292960,FALSE,24,95,1,8,2022
Shure SRH440,Headphones,23,775974,TRUE,24,93,1,8,2022
Zendure A8PD Power Bank 26800mAh,Portable Charger,2,185566,TRUE,27,97,1,8,2022
Hisense U8G,TV,41,479741,TRUE,30,107,1,8,2022
Dell G5 15 SE,Gaming Laptop,6,521226,TRUE,34,108,1,8,2022
Nikon Z6 II,Camera,49,2957591,FALSE,39,101,1,8,2022
Sennheiser HD 660 S,Headphones,11,440000,FALSE,37,97,1,8,2022
Hisense U8G,TV,41,479741,TRUE,30,105,2,8,2022
VANKYO Performance V630,Projector,6,410802,TRUE,31,89,2,8,2022
Sony Xperia 1 III,Smartphone,36,2409876,TRUE,29,94,2,8,2022
LG 34GN850-B,Monitor,19,1150469,TRUE,40,104,2,8,2022
Samsung Galaxy Tab S7+,Tablet,8,412648,FALSE,30,102,2,8,2022
Google Pixel Buds A-Series,Wireless Earbuds,39,3224052,FALSE,22,101,2,8,2022
Amazfit GTR 2,Smartwatch,8,215848,FALSE,37,104,2,8,2022
Sennheiser Momentum True Wireless 2,Wireless Earbuds,15,1016880,FALSE,26,112,2,8,2022
BenQ PD2700U,Monitor,35,2416820,TRUE,30,99,2,8,2022
Anker PowerCore 10000,Portable Charger,14,783972,TRUE,29,107,2,8,2022
Bose QuietComfort Earbuds,Wireless Earbuds,20,382540,TRUE,29,104,2,8,2022
Xbox One,Gaming Console,11,130317,TRUE,34,103,2,8,2022
JBL Quantum 800,Headphones,28,1653932,TRUE,28,109,2,8,2022
Shure SRH440,Headphones,23,775974,TRUE,32,100,2,8,2022
Xiaomi Mi Pad 5,Tablet,32,3066816,FALSE,37,105,2,8,2022
Alienware Area-51m,Laptop,24,1899312,TRUE,36,101,2,8,2022
Garmin Forerunner 945,Fitness Tracker,42,3396960,TRUE,21,104,2,8,2022
Sennheiser Momentum True Wireless 2,Wireless Earbuds,15,1016880,FALSE,28,109,2,8,2022
LG Nano90,TV,32,1877472,TRUE,20,105,2,8,2022
Mobvoi TicWatch E3,Smartwatch,6,341400,TRUE,30,100,2,8,2022
Sony WH-1000XM4,Headphones,33,1970133,FALSE,26,88,2,8,2022
Samsung Galaxy S22 Ultra,Smartphone,26,550550,FALSE,34,105,2,8,2022
Epson WorkForce Pro WF-4740,Printer,49,1837892,TRUE,28,103,2,8,2022
Huawei MatePad Pro,Tablet,25,1183150,TRUE,24,103,2,8,2022
Polar Ignite 2,Fitness Tracker,10,292960,FALSE,25,101,2,8,2022
Bose QuietComfort Earbuds,Earphones,31,1963819,TRUE,28,97,2,8,2022
Anker Nebula Capsule II,Projector,19,1796716,TRUE,25,101,2,8,2022
Samsung Galaxy S22 Ultra,Smartphone,26,550550,TRUE,33,106,2,8,2022
Philips Hue White and Color Ambiance,Smart Home Device,38,3631850,TRUE,29,102,2,8,2022
Goal Zero Yeti 500X Portable Power Station,Portable Charger,4,78384,TRUE,23,106,2,8,2022
PlayStation 5,Gaming Console,2,191290,TRUE,29,89,2,8,2022
Mobvoi TicWatch E3,Smartwatch,6,341400,FALSE,29,90,2,8,2022
Skullcandy Indy Fuel,Earphones,48,2680320,TRUE,27,107,2,8,2022
Epson Home Cinema 5050UB,Projector,20,654440,FALSE,33,100,2,8,2022
Sony A80J OLED,TV,35,3003525,TRUE,26,95,2,8,2022
Sony WH-1000XM4,Headphones,33,1970133,TRUE,23,90,3,8,2022
Canon EOS R6,Camera,29,2220617,TRUE,31,101,3,8,2022
Huawei P50 Pro,Smartphone,19,938106,TRUE,29,97,3,8,2022
Xerox Phaser 6510/DNI,Printer,44,958672,TRUE,32,108,3,8,2022
Microsoft Surface Pro 7,Tablet,41,532385,TRUE,31,101,3,8,2022
ASUS TUF Gaming A15,Gaming Laptop,29,1866904,TRUE,28,100,3,8,2022
Lenovo Tab P11 Pro,Tablet,1,49425,TRUE,27,106,3,8,2022
Dell Color Laser Printer C1760NW,Printer,40,3530440,FALSE,28,107,3,8,2022
LG 34GN850-B,Monitor,19,1150469,TRUE,39,110,3,8,2022
Asus ZenPad 3S 10,Tablet,18,1214568,TRUE,25,101,3,8,2022
Polar Ignite 2,Fitness Tracker,10,292960,FALSE,29,95,3,8,2022
PlayStation 5,Gaming Console,2,191290,TRUE,22,95,3,8,2022
LG Gram,Laptop,36,1883988,TRUE,32,97,3,8,2022
Jabra Elite 85t,Wireless Earbuds,2,146654,TRUE,26,109,3,8,2022
Xiaomi Mi Smart Band 6,Fitness Tracker,9,810639,FALSE,24,115,3,8,2022
VANKYO Performance V630,Projector,6,410802,TRUE,38,95,3,8,2022
Samsung Family Hub Refrigerator,Home Appliance,5,268670,TRUE,32,107,3,8,2022
Canon EOS R6,Camera,29,2220617,TRUE,22,102,3,8,2022
Audio-Technica ATH-M50x,Headphones,9,781515,TRUE,30,104,3,8,2022
Brother HL-L2390DW,Printer,48,4658496,TRUE,32,91,3,8,2022
Audio-Technica ATH-M50x,Headphones,9,781515,TRUE,35,108,3,8,2022
Samsung QN90A Neo QLED,TV,31,2803826,TRUE,30,103,3,8,2022
Alienware Area-51m,Laptop,24,1899312,TRUE,32,96,3,8,2022
Sony WF-1000XM4,Wireless Earbuds,38,3778340,FALSE,37,110,3,8,2022
Philips Hue White and Color Ambiance,Smart Home Device,38,3631850,TRUE,22,97,3,8,2022
Jabra Elite 75t,Earphones,29,2160906,FALSE,22,92,3,8,2022
